System,CPL_conf,Sigma,TER_br,BLEU_nb,BLEU_br,alpha
cascade.fr,91.44773616545557,83.05723661250768,23.228465172379135,25.41190650086696,26.340788670461965,0.1994648232801873
e2e_base.fr,94.95002630194634,81.82722672631414,24.484872851542868,21.03968304154373,22.525247211068397,0.20929208411317846
e2e_pt.fr,95.38305428716387,81.4643686501739,23.51995175394512,25.46651255220075,26.356107263769516,0.2166172106824926
nmt.fr,91.31905298759865,89.22377598194834,19.378832043421447,29.5002269628972,32.159215403649696,0.19678313921242374
