System,CPL_conf,BLEU_nb,BLEU_br,alpha,Sigma,TER_br
cascade.fr,91.4477361654556,25.411906500867,26.340788670462,0.17644738139856,84.6986927687827,23.2284651723791
e2e_base.fr,94.9500263019463,21.0396830415437,22.5252472110684,0.182911575098624,83.9203037125118,24.4848728515429
e2e_pt.fr,95.3830542871639,25.4665125522007,26.3561072637695,0.19208654127278,83.1333758452527,23.5199517539451
nmt.fr,91.3190529875986,29.5002269628972,32.1592154036497,0.175244492739307,90.7466248693729,19.3788320434214
