System,Sigma,BLEU_br,CPL_conf,BLEU_nb,TER_br,alpha
amara.sys.it,75.0997454959546,22.20252559310883,88.55384615384615,23.832623440053386,18.061582971688363,0.17821890765518755
amara.sub1.it,81.95463308802951,29.77263723647261,99.88235294117646,30.06049831084794,15.902045877247364,0.18174043190079112
amara.sub4.it,80.57668959598664,30.352767978171546,100.0,30.1128383857712,16.59433767307295,0.20739674454656185
